"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.783813377E0,-3.336799145E-2,-3.981752396E-1,4.872376919E-1,6.301249976E-1
1.791808982E0,8.158409595E-2,-5.255079269E-1,6.153202057E-1,8.132856211E-1
1.799774070E0,1.213337779E-1,-6.547031403E-1,7.457182407E-1,9.997268537E-1
1.807769676E0,3.755035996E-1,-7.883529663E-1,7.739071846E-1,1.166805761E0
1.815795799E0,5.405777097E-1,-8.330812454E-1,6.618986130E-1,1.193464870E0
1.823791404E0,6.263362765E-1,-8.202543259E-1,5.831260681E-1,1.185390358E0
1.831787010E0,7.070541382E-1,-6.785230637E-1,5.060067177E-1,1.102887982E0
1.839752098E0,6.301444173E-1,-5.445928574E-1,3.694109917E-1,9.111135207E-1
1.847747703E0,6.175472140E-1,-4.065008163E-1,3.094644547E-1,8.014834521E-1
1.855712791E0,4.586564302E-1,-1.806077957E-1,1.950943470E-1,5.301383792E-1
1.863708397E0,3.585509658E-1,-5.127811432E-2,1.395034790E-2,3.624677258E-1
1.871704002E0,3.292274475E-1,7.009124756E-2,-1.143388748E-1,3.554952510E-1
1.879699607E0,2.237488627E-1,1.236867905E-1,-2.060918808E-1,3.283836766E-1
1.887695213E0,1.283834577E-1,2.078313828E-1,-2.475330830E-1,3.477769731E-1
1.895660301E0,4.092252254E-2,2.916412354E-1,-3.305017948E-1,4.426744847E-1
1.903655906E0,-3.674685955E-2,3.442687988E-1,-2.407722473E-1,4.217138990E-1
1.911651512E0,-8.058106899E-2,3.442306519E-1,-1.581130028E-1,3.872825480E-1
1.919677635E0,-1.647121906E-1,3.825721741E-1,-9.950041771E-2,4.282428134E-1
1.927673240E0,-1.625002623E-1,4.474124908E-1,3.517770767E-2,4.773067602E-1
1.935638328E0,-2.297799587E-1,5.840845108E-1,2.320587635E-1,6.691821986E-1
1.943633934E0,-2.927170992E-1,7.182617188E-1,3.261978626E-1,8.414203720E-1
1.951629539E0,-4.086381197E-1,8.211574554E-1,4.686908722E-1,1.030027093E0
1.959655662E0,-3.811795712E-1,8.256893158E-1,6.238052845E-1,1.102811745E0
1.967651268E0,-2.238737941E-1,7.077827454E-1,5.553536415E-1,9.270887538E-1
1.975616356E0,-1.607013941E-1,5.418310165E-1,4.594385624E-1,7.283471570E-1
1.983611961E0,-1.051271558E-1,2.467632294E-1,4.690225124E-1,5.403017004E-1
1.991607566E0,-8.879911900E-2,-7.669544220E-2,5.066266060E-1,5.200365298E-1
1.999603172E0,-3.532075882E-2,-4.761371613E-1,4.801054001E-1,6.770933078E-1
2.007598777E0,8.566361666E-2,-7.957668304E-1,3.214511871E-1,8.625044750E-1
2.015563865E0,2.544776201E-1,-1.002326012E0,4.821681976E-2,1.035249320E0
2.023559471E0,4.302746058E-1,-1.055955887E0,-2.000184059E-1,1.157664215E0
2.031555076E0,4.634780288E-1,-9.112024307E-1,-3.483891487E-1,1.080035533E0
2.039550682E0,3.663250804E-1,-5.820703506E-1,-5.202419758E-1,8.623524053E-1
2.047546287E0,1.692506075E-1,-1.662082672E-1,-5.861082077E-1,6.322924856E-1
2.055511375E0,-1.516450644E-1,2.832593918E-1,-5.117139816E-1,6.042212406E-1
2.063506981E0,-2.026861906E-1,5.430250168E-1,-6.735044718E-1,8.885753396E-1
2.071502586E0,-3.393399715E-2,6.173925400E-1,-7.583715916E-1,9.784950360E-1
2.079528709E0,-1.106739044E-3,6.020755768E-1,-6.818605661E-1,9.096318248E-1
2.087524315E0,8.080273867E-2,4.478960037E-1,-3.903594017E-1,5.996001795E-1
2.095489402E0,1.693072319E-1,2.989082336E-1,-1.652443409E-1,3.812043587E-1
2.103485008E0,3.032850027E-1,1.434154510E-1,7.650089264E-2,3.440961654E-1
2.111480613E0,2.212526202E-1,1.156034470E-1,2.202970982E-1,3.329379677E-1
2.119476219E0,5.951440334E-2,1.818275452E-1,3.455624580E-1,3.949894085E-1
2.127471824E0,-9.615242481E-2,3.083295822E-1,4.985263348E-1,5.940041469E-1
2.135436912E0,-2.846806049E-1,4.491739273E-1,6.231219769E-1,8.191954967E-1
2.143463035E0,-4.494708776E-1,6.829366684E-1,6.248440742E-1,1.029007619E0
2.151458641E0,-6.461293697E-1,9.162178040E-1,4.891915321E-1,1.223211585E0
2.159423729E0,-6.643854380E-1,1.067731857E0,4.214546680E-1,1.326304402E0
2.167419334E0,-7.237963676E-1,1.116041183E0,4.239084721E-1,1.396111563E0
2.175384422E0,-6.570048332E-1,1.046726227E0,5.110225677E-1,1.337323899E0
2.183380027E0,-4.447492361E-1,8.813257217E-1,5.320456028E-1,1.121431868E0
2.191375633E0,-3.594256639E-1,6.895265579E-1,5.652575493E-1,9.613270926E-1
2.199371238E0,-6.792789698E-2,3.925771713E-1,7.103781700E-1,8.144741734E-1
2.207366844E0,1.056467295E-1,2.890205383E-2,8.550670147E-1,8.620534553E-1
2.215331932E0,2.976330519E-1,-2.649545670E-1,8.888497353E-1,9.740842920E-1
2.223327537E0,3.856962919E-1,-5.560083389E-1,7.062137127E-1,9.780821594E-1
2.231323143E0,4.790897965E-1,-8.413887024E-1,5.014033318E-1,1.090351908E0
2.239349266E0,6.033200026E-1,-1.044403076E0,3.361077309E-1,1.252094732E0
2.247344871E0,5.904211402E-1,-1.088958740E0,2.288424969E-1,1.259681368E0
2.255309959E0,5.684193969E-1,-1.012464523E0,-3.957891464E-2,1.161788067E0
2.263305565E0,4.990279675E-1,-7.668733597E-1,-3.524699211E-1,9.804890144E-1
2.271301170E0,4.413868785E-1,-4.358491898E-1,-5.860891342E-1,8.533975427E-1
2.279327293E0,2.314917445E-1,-9.359836578E-2,-6.921625137E-1,7.358247259E-1
2.287322899E0,-7.012009621E-3,2.673559189E-1,-7.965592146E-1,8.402588518E-1
2.295287986E0,-8.744621277E-2,4.888515472E-1,-9.188666344E-1,1.044480046E0
2.303222557E0,-3.420352936E-2,4.744110107E-1,-1.023177266E0,1.128329476E0
2.311218162E0,2.487444878E-2,3.606891632E-1,-9.850629568E-1,1.049316177E0
2.319183250E0,2.879881859E-2,1.343383789E-1,-8.723237514E-1,8.830769498E-1
2.327178856E0,3.214800358E-2,-5.564212799E-2,-5.555288792E-1,5.592332931E-1
2.335204979E0,3.029417992E-2,-1.993370056E-1,-1.531884670E-1,2.532186517E-1
2.343200584E0,8.349150419E-2,-3.012943268E-1,1.256351471E-1,3.369470178E-1
2.351196190E0,1.305043101E-1,-3.016796112E-1,3.292837143E-1,4.652630732E-1
2.359191795E0,6.409281492E-2,-2.873382568E-1,3.909351826E-1,4.893888840E-1
2.367187400E0,3.770995140E-2,-2.347879410E-1,4.751658440E-1,5.313473411E-1
2.375183006E0,-1.486122608E-3,-2.018203735E-1,5.591895580E-1,5.944969584E-1
2.383178611E0,-7.733452320E-2,-2.073459625E-1,5.511879921E-1,5.939538528E-1
2.391174217E0,-1.995053291E-1,-2.176923752E-1,4.936509132E-1,5.752248001E-1
2.399139305E0,-2.937785387E-1,-3.117904663E-1,3.312401772E-1,5.415156319E-1
