"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.959602800E0,6.456688046E-3,-7.126331329E-3,1.195468903E-1
2.969602800E0,-2.735793591E-3,-3.722715378E-2,8.699512482E-2
2.979602800E0,-3.801298141E-2,-5.601739883E-2,7.173442841E-2
2.989602800E0,-6.287533045E-2,-8.486938477E-2,7.000446320E-2
2.999602800E0,-6.904086471E-2,-1.018707752E-1,8.020591736E-2
3.009602800E0,-9.015482664E-2,-1.093535423E-1,8.559226990E-2
3.019602800E0,-7.337783277E-2,-7.927417755E-2,1.201696396E-1
3.029602800E0,-6.599807739E-2,-7.304334641E-2,1.540994644E-1
3.039602800E0,-3.953936696E-2,-5.739879608E-2,1.544647217E-1
3.049602800E0,-3.677868843E-2,-3.004360199E-2,1.667299271E-1
3.059602800E0,-1.011270285E-2,-1.887798309E-2,4.508113861E-2
3.069602800E0,-1.011270285E-2,-1.887798309E-2,4.508113861E-2
3.079602800E0,-1.511949301E-2,5.672693253E-3,1.153621674E-1
3.089602800E0,-3.687386215E-2,2.463150024E-2,4.894542694E-2
3.099602800E0,-3.687386215E-2,2.463150024E-2,4.894542694E-2
3.109602800E0,-3.687386215E-2,2.463150024E-2,4.894542694E-2
3.119602800E0,-3.687386215E-2,2.463150024E-2,4.894542694E-2
3.129602800E0,2.049379051E-2,-2.749967575E-2,9.936618805E-2
3.139602800E0,2.948988974E-2,-2.877831459E-2,1.034421921E-1
3.149602800E0,2.948988974E-2,-2.877831459E-2,1.034421921E-1
3.159602800E0,1.090206206E-2,-3.292918205E-2,4.275989532E-2
3.169602800E0,-5.147472024E-3,-2.653956413E-2,4.221534729E-2
3.179602800E0,-1.456314325E-2,-1.554846764E-2,9.838390350E-2
3.189602800E0,-9.939432144E-3,-4.509449005E-3,1.425905228E-1
3.199602800E0,-6.992965937E-4,8.738994598E-3,1.532230377E-1
3.209602800E0,-3.395438194E-3,7.261276245E-3,1.661481857E-1
3.219602800E0,5.942210555E-3,-1.370382309E-2,1.317892075E-1
3.229602800E0,1.076455414E-2,-2.824163437E-2,1.276473999E-1
3.239602800E0,3.693372011E-3,-3.346967697E-2,9.469890594E-2
3.249602800E0,-7.989406586E-3,-5.544090271E-2,7.372951508E-2
3.259602800E0,-1.480187476E-2,-4.384946823E-2,1.109333038E-1
3.269602800E0,-2.669796348E-2,-4.153203964E-2,1.020336151E-1
3.279602800E0,-2.654352784E-2,-5.599093437E-2,1.074972153E-1
3.289602800E0,-4.090026021E-2,-5.102491379E-2,7.712364197E-2
3.299602800E0,-3.137306869E-2,-4.494619370E-2,3.341293335E-2
3.309602800E0,-2.227489650E-2,-3.184032440E-2,1.528739929E-2
3.319602800E0,-2.227489650E-2,-3.184032440E-2,1.528739929E-2
3.329602800E0,-3.364172578E-2,-4.358935356E-2,8.348846436E-2
3.339602800E0,-3.156408668E-2,-3.270173073E-2,1.252794266E-1
3.349602800E0,-2.904643118E-2,-3.437447548E-2,1.836633682E-1
3.359602800E0,-2.841949463E-2,-3.677678108E-2,1.891679764E-1
3.369602800E0,-1.734820008E-2,-1.494383812E-2,1.851987839E-1
3.379602800E0,-9.702265263E-3,-6.838798523E-3,1.399888992E-1
3.389602800E0,-2.648860216E-3,3.857374191E-3,7.567596436E-2
3.399602800E0,6.605818868E-3,7.972478867E-3,2.350902557E-2
3.409602800E0,-1.806895435E-2,-9.969234467E-3,-8.238792419E-3
3.419602800E0,-2.049869299E-2,-5.994558334E-3,-1.004304886E-1
3.429602800E0,-5.334088206E-2,-6.255626678E-3,-8.089065552E-3
3.439602800E0,-4.010967910E-2,-2.321934700E-2,1.968088150E-1
3.449602800E0,-1.973074675E-2,-6.592011452E-2,4.569549561E-1
3.459602800E0,1.076936722E-2,-7.520604134E-2,2.798604965E-1
3.469602800E0,5.646795779E-2,-4.229736328E-2,1.000747681E-1
3.479602800E0,5.522450060E-2,-3.993558884E-2,-9.631919861E-2
3.489602800E0,5.522450060E-2,-3.993558884E-2,-9.631919861E-2
3.499602800E0,-2.866482735E-2,-7.586336136E-2,-1.055364609E-1
3.509602800E0,-2.866482735E-2,-7.586336136E-2,-1.055364609E-1
3.519602800E0,-4.836130142E-2,-9.427356720E-2,1.825122833E-1
3.529602800E0,-4.519566894E-3,-9.539604187E-3,2.106294632E-1
3.539602800E0,-4.519566894E-3,-9.539604187E-3,2.106294632E-1
3.549602800E0,-4.519566894E-3,-9.539604187E-3,2.106294632E-1
3.559602800E0,5.084276199E-4,4.985928535E-2,5.400562286E-2
3.569602800E0,-1.535260677E-2,3.019833565E-2,1.255178452E-1
3.579602800E0,-7.432445884E-3,1.303672791E-2,1.244707108E-1
3.589602800E0,-7.432445884E-3,1.303672791E-2,1.244707108E-1
3.599602800E0,-7.432445884E-3,1.303672791E-2,1.244707108E-1
3.609602800E0,-7.432445884E-3,1.303672791E-2,1.244707108E-1
3.619602800E0,-3.922499716E-2,-5.910372734E-2,4.000949860E-2
3.629602800E0,-5.240565538E-2,-8.148193359E-2,5.800437927E-2
3.639602800E0,-5.240565538E-2,-8.148193359E-2,5.800437927E-2
3.649602800E0,-5.240565538E-2,-8.148193359E-2,5.800437927E-2
3.659602800E0,-5.240565538E-2,-8.148193359E-2,5.800437927E-2
3.669602800E0,-6.420892477E-2,-8.704352379E-2,1.003713608E-1
3.679602800E0,-4.971219599E-2,-8.766937256E-2,1.447601318E-1
3.689602800E0,-4.971219599E-2,-8.766937256E-2,1.447601318E-1
3.699602800E0,-4.487231374E-3,-4.948472977E-2,1.572704315E-1
3.709602800E0,6.984233856E-3,-3.321576118E-2,5.250930786E-2
3.719602800E0,3.769218922E-3,-2.429628372E-2,1.535921097E-1
