"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.722805008E0,-1.000082493E-2,-1.860618591E-2,9.105014801E-2,9.346836955E-2
1.730770096E0,-2.155767381E-2,-2.702140808E-2,1.895170212E-1,1.926436895E-1
1.738765701E0,-2.320340276E-2,-1.951980591E-2,2.734022141E-1,2.750785186E-1
1.746791824E0,-7.826238871E-4,-3.718352318E-2,3.210563660E-1,3.232033679E-1
1.754787430E0,6.874471903E-3,-3.684306145E-2,2.894010544E-1,2.918178196E-1
1.762722000E0,1.420165598E-2,-2.056860924E-2,1.737327576E-1,1.755215821E-1
1.770748123E0,2.321869135E-3,-4.254817963E-3,5.568122864E-2,5.589180418E-2
1.778743728E0,-2.751417458E-3,8.018732071E-3,-5.499649048E-2,5.564606300E-2
1.786739334E0,-1.952275634E-2,1.200032234E-2,-9.830188751E-2,1.009376384E-1
1.794704422E0,-3.618329018E-2,7.860422134E-3,-7.658576965E-2,8.506701381E-2
1.802730545E0,-5.266989768E-2,-2.130508423E-3,-7.607078552E-2,9.254956292E-2
1.810695633E0,-4.973793775E-2,-1.138591766E-2,-1.071739197E-2,5.213793305E-2
1.818691238E0,-6.327417493E-2,-2.272295952E-2,1.744270325E-1,1.869351325E-1
1.826686844E0,-4.815972596E-2,-3.459405899E-2,3.330993652E-1,3.383360685E-1
1.834712967E0,-2.393233776E-2,-5.052852631E-2,3.883829117E-1,3.923865121E-1
1.842708572E0,4.336059093E-3,-6.815075874E-2,3.330888748E-1,3.400169494E-1
1.850704178E0,6.260828674E-2,-5.108928680E-2,2.295827866E-1,2.433889247E-1
1.858669265E0,7.879019529E-2,-3.659296036E-2,6.137943268E-2,1.063690480E-1
1.866664871E0,5.170573294E-2,-4.291057587E-2,-1.616992950E-1,1.751041472E-1
1.874660476E0,2.810616791E-2,-5.208325386E-2,-2.837123871E-1,2.898194966E-1
1.882656082E0,1.478619874E-3,-5.886149406E-2,-2.207374573E-1,2.284554373E-1
1.890621170E0,-1.913635060E-2,-7.612013817E-2,-3.526306152E-2,8.604625998E-2
1.898616775E0,-3.220805153E-2,-9.567260742E-2,1.885509491E-1,2.138739507E-1
1.906581863E0,-5.006540567E-3,-8.783960342E-2,3.473691940E-1,3.583381341E-1
1.914577469E0,3.588127717E-2,-6.051468849E-2,3.835420609E-1,3.899410289E-1
1.922603592E0,5.248694122E-2,-2.109885216E-2,2.898302078E-1,2.952991533E-1
1.930599197E0,3.109272942E-2,1.007199287E-2,1.216249466E-1,1.259397892E-1
1.938594803E0,8.222416043E-3,5.114603043E-2,6.182670593E-3,5.217039361E-2
1.946620926E0,-2.094159275E-2,6.245899200E-2,-6.819534302E-2,9.481709128E-2
1.954586014E0,-4.257828742E-2,6.377124786E-2,-5.107784271E-2,9.213375402E-2
1.962581619E0,-5.267552286E-2,6.960749626E-2,-1.664638519E-2,8.886515844E-2
1.970577224E0,-3.017263860E-2,5.770897865E-2,5.166816711E-2,8.312829741E-2
1.978572830E0,-6.346955895E-3,3.489780426E-2,9.152603149E-2,9.815882555E-2
1.986537918E0,1.020704955E-2,9.823560715E-3,1.362094879E-1,1.369441886E-1
1.994564041E0,2.919160947E-2,-1.344776154E-2,1.615886688E-1,1.647540295E-1
2.002559646E0,1.072197407E-2,-2.325916290E-2,1.556119919E-1,1.577055529E-1
2.010555252E0,-6.890304387E-3,-5.296206474E-2,1.590270996E-1,1.677559984E-1
2.018520340E0,-2.160412818E-2,-6.425452232E-2,1.502809525E-1,1.648628116E-1
2.026515945E0,-3.870136291E-2,-8.102107048E-2,1.150159836E-1,1.459139672E-1
2.034511551E0,-8.006545156E-2,-9.073925018E-2,9.647464752E-2,1.547625461E-1
2.042507156E0,-8.126777411E-2,-9.584474564E-2,8.027648926E-2,1.491139869E-1
2.050472244E0,-8.551076800E-2,-9.370541573E-2,8.803272247E-2,1.544103514E-1
2.058467849E0,-8.015228808E-2,-9.629487991E-2,1.162357330E-1,1.709030100E-1
2.066432937E0,-7.296968997E-2,-7.235288620E-2,1.473598480E-1,1.796508853E-1
2.074459060E0,-5.381608009E-2,-7.474708557E-2,1.569366455E-1,1.819681510E-1
2.082454666E0,-3.710616380E-2,-7.297539711E-2,1.741685867E-1,1.924499223E-1
2.090450271E0,-1.088424027E-2,-5.721187592E-2,1.529932022E-1,1.637027347E-1
2.098445877E0,3.147795796E-3,-3.009009361E-2,1.053152084E-1,1.095747027E-1
2.106472000E0,9.784862399E-3,-2.423763275E-2,3.855800629E-2,4.658246690E-2
2.114437088E0,1.165070385E-2,-1.113533974E-2,1.202592850E-1,1.213343740E-1
2.122432693E0,1.555602998E-2,9.284734726E-3,1.493215561E-1,1.504165000E-1
2.130458816E0,9.925909340E-3,1.540446281E-2,1.281232834E-1,1.294271876E-1
2.138454422E0,1.414389908E-2,1.195788383E-2,5.425739288E-2,5.733154062E-2
2.146388992E0,2.348988503E-2,-2.675533295E-3,6.941795349E-3,2.463983969E-2
2.154384598E0,3.783093393E-2,-9.652614594E-3,3.157997131E-2,5.021600461E-2
2.162410721E0,2.582382783E-2,-2.356171608E-2,9.220123291E-2,9.860573968E-2
2.170375808E0,4.221418872E-2,-2.778506279E-2,1.528491974E-1,1.609873429E-1
2.178371414E0,4.613850266E-2,-2.308845520E-2,1.917695999E-1,1.985885637E-1
2.186397537E0,5.217358470E-2,-2.623152733E-2,1.682615280E-1,1.781070402E-1
2.194393142E0,5.135514587E-2,-2.997374535E-2,1.182594299E-1,1.323671756E-1
2.202388748E0,2.685865015E-2,-2.649950981E-2,5.629730225E-2,6.777165594E-2
2.210414871E0,-6.706818938E-3,-2.031636238E-2,3.512573242E-2,4.112849473E-2
2.218410476E0,-2.566184849E-2,-1.357507706E-2,3.326034546E-2,4.414820228E-2
2.226406082E0,-2.791123092E-2,5.858421326E-3,5.792713165E-2,6.456710071E-2
2.234371170E0,-2.343703806E-2,1.144409180E-2,9.948921204E-2,1.028511804E-1
2.242336258E0,-2.622587234E-2,1.972174644E-2,1.315565109E-1,1.355870909E-1
2.250362381E0,-5.207799375E-3,1.359200478E-2,1.396703720E-1,1.404267659E-1
2.258327469E0,-8.094862103E-3,1.674985886E-2,1.429195404E-1,1.441252219E-1
2.266292556E0,3.751933575E-3,4.947185516E-4,1.269483566E-1,1.270047519E-1
2.274318680E0,-8.259989321E-3,-1.139926910E-2,1.180448532E-1,1.188812775E-1
2.282344803E0,-3.249943256E-3,-1.596117020E-2,9.721279144E-2,9.856798621E-2
2.290309890E0,-7.801078260E-3,-2.050662041E-2,9.314632416E-2,9.569543357E-2
2.298305496E0,4.094682634E-3,-4.166913033E-2,6.038761139E-2,7.348296712E-2
2.306331619E0,-7.757864892E-3,-5.283975601E-2,5.647373199E-2,7.772712968E-2
2.314327224E0,-1.740153134E-2,-5.648064613E-2,7.659816742E-2,9.674789885E-2
2.322292312E0,-3.653097153E-2,-7.670664787E-2,9.198284149E-2,1.252168712E-1
2.330318435E0,-1.963324845E-2,-8.008480072E-2,1.145772934E-1,1.411630118E-1
2.338283523E0,-3.119128942E-2,-8.846378326E-2,1.227531433E-1,1.544897138E-1
2.346248611E0,-2.871640772E-2,-7.780241966E-2,1.237125397E-1,1.489383800E-1
2.354274734E0,-2.593978494E-2,-8.643174171E-2,1.174554825E-1,1.481185633E-1
2.362300857E0,-3.533122689E-2,-7.855772972E-2,1.015501022E-1,1.331616903E-1
2.370296463E0,-3.276939690E-2,-7.557988167E-2,8.801078796E-2,1.205489556E-1
2.378261551E0,-3.262606263E-2,-7.269096375E-2,1.007833481E-1,1.284745867E-1
2.386287674E0,-3.508159518E-2,-5.546879768E-2,1.279125214E-1,1.437675866E-1
